Entity Name,Region
National City,Southern California
Needles,Southern California
Nevada City,Sierra Nevada
Newark,Northern California
Newman,Central California
Newport Beach,Southern California
Norco,Southern California
Norwalk,Southern California
Novato,Northern California
Oakdale,Northern California
Oakland,Northern California
Oakley,Northern California
Oceanside,Southern California
Ojai,Southern California
Ontario,Southern California
Orange,Southern California
Orange Cove,Central California
Orinda,Northern California
Orland,Northern California
Oroville,Northern California
Oxnard,Southern California
Pacific Grove,Central California
Pacifica,Northern California
Palm Desert,Southern California
Palm Springs,Southern California
Palmdale,Southern California
Palo Alto,Northern California
Palos Verdes Estates,Southern California
Paradise,Northern California
Paramount,Southern California
Parlier,Central California
Pasadena,Southern California
Paso Robles,Central California
Patterson,Central California
Perris,Southern California
Petaluma,Northern California
Pico Rivera,Southern California
Piedmont,Northern California
Pinole,Northern California
Pismo Beach,Central California
Pittsburg,Northern California
Placentia,Southern California
Placerville,Sierra Nevada
Pleasant Hill,Northern California
Pleasanton,Northern California
Plymouth,Northern California
Point Arena,Northern California
Pomona,Southern California
Port Hueneme,Southern California
Porterville,Central California
Portola,Sierra Nevada
Portola Valley,Northern California
Poway,Southern California
Rancho Cordova,Northern California
Rancho Cucamonga,Southern California
Rancho Mirage,Southern California
Rancho Palos Verdes,Southern California
Rancho Santa Margarita,Southern California
Red Bluff,Northern California
Redding,Northern California
Redlands,Southern California
Redondo Beach,Southern California
Redwood City,Northern California
Reedley,Central California
Rialto,Southern California
Richmond,Northern California
Ridgecrest,Southern California
Rio Dell,Northern California
Rio Vista,Northern California
Ripon,Northern California
Riverbank,Northern California
Riverside,Southern California
Rocklin,Northern California
Rohnert Park,Northern California
Rolling Hills,Southern California
Rolling Hills Estates,Southern California
Rosemead,Southern California
Roseville,Northern California
Ross,Northern California
Sacramento,Northern California
Salinas,Central California
San Anselmo,Northern California
San Bernardino,Southern California
San Bruno,Northern California
San Carlos,Northern California
San Clemente,Southern California
San Diego,Southern California
San Dimas,Southern California
San Fernando,Southern California
San Francisco,Northern California
San Gabriel,Southern California
San Jacinto,Southern California
San Joaquin,Central California
San Jose,Northern California
San Juan Bautista,Central California
San Juan Capistrano,Southern California
San Leandro,Northern California
San Luis Obispo,Central California
San Marcos,Southern California
San Marino,Southern California
San Mateo,Northern California
San Pablo,Northern California
San Rafael,Northern California
San Ramon,Northern California
Sand City,Central California
Sanger,Central California
Santa Ana,Southern California
Santa Barbara,Central California
Santa Clara,Northern California
Santa Clarita,Southern California
Santa Cruz,Northern California
Santa Fe Springs,Southern California
Santa Maria,Central California
Santa Monica,Southern California
Santa Paula,Southern California
Santa Rosa,Northern California
Santee,Southern California
Saratoga,Northern California
Sausalito,Northern California
Scotts Valley,Northern California
Seal Beach,Southern California
Seaside,Central California
Sebastopol,Northern California
Selma,Central California
Shafter,Central California
Shasta Lake,Northern California
Sierra Madre,Southern California
Signal Hill,Southern California
Simi Valley,Southern California
Solana Beach,Southern California
Soledad,Central California
Solvang,Central California
Sonoma,Northern California
Sonora,Sierra Nevada
South El Monte,Southern California
South Gate,Southern California
South Lake Tahoe,Sierra Nevada
South Pasadena,Southern California
South San Francisco,Northern California
Stanton,Southern California
Stockton,Northern California
Suisun City,Northern California
Sunnyvale,Northern California
Susanville,Sierra Nevada
Taft,Central California
Tehachapi,Southern California
Temecula,Southern California
Temple City,Southern California
Thousand Oaks,Southern California
Tiburon,Northern California
Torrance,Southern California
Tracy,Northern California
Trinidad,Northern California
Truckee,Sierra Nevada
Tulare,Central California
Tulelake,Northern California
Turlock,Central California
Tustin,Southern California
Twentynine Palms,Southern California
Ukiah,Northern California
Union City,Northern California
Upland,Southern California
Vacaville,Northern California
Vallejo,Northern California
Ventura,Southern California
Vernon,Southern California
Victorville,Southern California
Villa Park,Southern California
Visalia,Central California
Vista,Southern California
Walnut,Southern California
Walnut Creek,Northern California
Wasco,Central California
Waterford,Central California
Watsonville,Central California
Weed,Northern California
West Covina,Southern California
West Hollywood,Southern California
West Sacramento,Northern California
Westlake Village,Southern California
Westminster,Southern California
Westmorland,Southern California
Wheatland,Northern California
Whittier,Southern California
Williams,Northern California
Willits,Northern California
Willows,Northern California
Windsor,Northern California
Winters,Northern California
Woodlake,Central California
Woodland,Northern California
Woodside,Northern California
Yorba Linda,Southern California
Yountville,Northern California
Yreka,Northern California
Yuba City,Northern California
Yucaipa,Southern California
Yucca Valley,Southern California
